,drug,target,pathway
803,pifithrin-mu,HSPA1A;HSPA1B;HSPA1L;TP53,"inhibitor of p53 binding to mitochondria; inhibitor of HSP70;inhibitor of apoptotic process (GO:0006915), inhibitor of intracellular protein transport (GO:0006886), effector of response to radiation (GO:0009314), activator of release of cytochrome c from mitochondria (GO:0001836)"
804,PIK-93,PI3Kgamma:|:PI4KB:|:PIK3C3:|:PIK3CG,of PI3K catalytic subunit gamma:|:PI3K :|:PI3K/MTOR signaling
805,PIK-93_303,PI3Kgamma:|:PI4KB:|:PIK3C3:|:PIK3CG,of PI3K catalytic subunit gamma:|:PI3K :|:PI3K/MTOR signaling
806,Pilaralisib_372,PI3K,PI3K/MTOR 
807,piperlongumine,NA,"inhibitor of phosphatidylinositol metabolic process (GO:0046488), inhibitor of cAMP-mediated signaling (GO:0019933), effector of catechol oxidase activity (GO:0004097), inhibitor of melanin biosynthetic process (GO:0042438), inhibitor of platelet aggregation (GO:0070527), inhibitor of pigmentation (GO:0043473), activator of fat cell differentiation (GO:0045444), inhibitor of oxygen and reactive oxygen species metabolic process (GO:0006800),modulator of ROS levels"
808,piperlongumine:MST-312 (1:1 mol/mol),"Induces reactive oxygen species,TERT","natural product; modulator of ROS levels:|:Other,inhibitor of cell proliferation (GO:0008283), effector of telomere maintenance via telomere shortening (GO:0010834), inhibitor of cell growth (GO:0016049), activator of apoptotic process (GO:0006915), effector of DNA repair (GO:0006281), inhibitor of telomerase activity (GO:0003720)"
809,Piperlongumine_1243,NA,"inhibitor of phosphatidylinositol metabolic process (GO:0046488), inhibitor of cAMP-mediated signaling (GO:0019933), effector of catechol oxidase activity (GO:0004097), inhibitor of melanin biosynthetic process (GO:0042438), inhibitor of platelet aggregation (GO:0070527), inhibitor of pigmentation (GO:0043473), activator of fat cell differentiation (GO:0045444), inhibitor of oxygen and reactive oxygen species metabolic process (GO:0006800),modulator of ROS levels"
810,pitstop2,CLTA;CLTB;CLTC;CLTCL1,inhibitor of clathrin and clathrin-independent endocytosis
811,PL-DI,NA,dimer of piperlongumine; inducer of ROS
812,Platin,NA,DNA alkylator; organoplatinum re
813,PLK_6522_1451,"PLK1, PLK2, PLK3",Cell cycle
814,pluripotin,MAPK1;RASAL1,promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK;activator of stem cell division;
815,PLX-4032,BRAF,"MAPK signaling pathway,ErbB signaling pathway,inhibitor of BRAF"
816,PLX-4720,BRAF:|:KDR,ERK MAPK signaling:|: of BRAF:|:RAF
817,PLX-4720_1036,BRAF:|:KDR,ERK MAPK signaling:|: of BRAF:|:RAF
818,PLX-4720_1036,BRAF:|:KDR,ERK MAPK signaling:|: of BRAF:|:RAF
819,PLX-4720_1371,BRAF:|:KDR,ERK MAPK signaling:|: of BRAF:|:RAF
820,Podophyllotoxin bromide_1825,NA,Unclassified
821,Ponatinib_155,ABL:|:ABL1:|:BCR:|:FGFR1:|:FGFR2:|:FGFR3:|:FGFR4:|:FLT3:|:KDR:|:KIT:|:LCK:|:LYN:|:PDGFRA:|:RET:|:SRC:|:TEK:|:TIE2:|:VEGFR2,"Bcr-Abl kinase , FLT3 , PDGFR tyrosine kinase receptor :|:Bcr-Abl kinase |FLT3 |PDGFR tyrosine kinase receptor :|:Other, kinases"
822,PRIMA-1,ACHE:|:TP53,re-activator of the pro-apoptotic activity of mutant p53:|:TP53
823,PRIMA-1-Met,TP53:|:TP53 activation,p53 activator:|:p53 pathway:|:re-activator of the pro-apoptotic activity of mutant p53
824,PRIMA-1MET_1131,TP53,p53 pathway
825,PRL-3 inhibitor I,PTP4A3,of phosphatase of regenerating liver-3 (PRL3)
826,procarbazine,DNA,inducer of DNA damage
827,prochlorperazine,DRD2,"inhibitor of dopamine receptor D2,inhibitor of dopamine receptor activity (GO:0004952), inhibitor of protein export from nucleus (GO:0006611),Neuroactive ligand-receptor interaction,Dopaminergic synapse"
828,PRT062607_1631,FGR:|:MAP3K9:|:SYK,"Other, kinases:|:syk"
829,purmorphamine,SMO,"activator of smoothened receptor,activator of ossification (GO:0001503), activator of osteoblast differentiation (GO:0001649), activator of smoothened signaling pathway (GO:0007224), activator of transdifferentiation (GO:0060290)"
830,PX-12,TXN:|:TXNRD1,of thioredoxin-1:|:thioredoxin
831,PYR-41,UBA1,of ubiquitin-activating enzyme in cells:|:ubiquitin activating enzyme
832,pyrazolanthrone,MAPK10;MAPK8;MAPK9,"Inhibitor of Jun N-terminal kinase (JNK) 1/2/3,inhibitor of translation (GO:0006412), inhibitor of protein phosphorylation (GO:0006468), inhibitor of apoptotic process (GO:0006915), inhibitor of inflammatory response (GO:0006954), inhibitor of mRNA transcription (GO:0009299), inhibitor of interleukin-10 biosynthetic process (GO:0042091), inhibitor of interleukin-2 biosynthetic process (GO:0042094), inhibitor of interferon-gamma biosynthetic process (GO:0042095), inhibitor of T cell proliferation (GO:0042098), inhibitor of T cell activation (GO:0042110), inhibitor of interleukin-6 biosynthetic process (GO:0042226), inhibitor of tumor necrosis factor biosynthetic process (GO:0042533), inhibitor of T-helper 1 cell differentiation (GO:0045063), inhibitor of interleukin-1 beta biosynthetic process (GO:0050720), inhibitor of JUN kinase activity (GO:0004705), inhibitor of gene expression (GO:0010467)"
833,Pyridostatin_2044,G-quadruplex stabiliser,DNA replication
834,Pyrimethamine_71,DHFR:|:Dihydrofolate reductase (DHFR):|:SLC47A1,dihydrofolate reductase :|:Other
835,QL-VIII-58_1166,ATR:|:MTOR,Other
836,QL-X-138_331,BTK,"Other, kinases"
837,QL-XI-92_329,DDR1,Cytoskeleton
838,QL-XII-47_235,BMX:|:BTK,"Other, kinases"
839,QL-XII-61_1203,BMX:|:BTK,"Other, kinases"
840,QS-11,ARFGAP1,inhibitor of GTPase activating protein of ARF 1 (ARFGAP1)
841,QS11_151,ARFGAP1,of GTPase activating protein of ARF 1 (ARFGAP1):|:Other
842,quizartinib,FLT3,"inhibtor of VEGFR3,Hematopoietic cell lineage,Pathways in cancer"
843,Quizartinib_254,CSF1R:|:FLT3:|:KIT:|:PDGFRA:|:PDGFRB:|:RET,FLT3 :|:inhibtor of VEGFR3:|:RTK signaling
844,QW-BI-011,EHMT2,of G9a histone methyltransferase
845,R428,AXL,AXL kinase :|: of the tyrosine-protein kinase receptor UFO
846,RAF_9304_1453,"ARAF, BRAF, CRAF",ERK MAPK signaling
847,RAF265,BRAF:|:KDR,"ihibitor of VEGFR2 and BRAF:|:RAF , VEGFR :|:RAF |VEGFR"
848,Rapamycin_1084,FGF2:|:FKBP1A:|:MTOR:|:MTORC1,of mTOR:|:mTOR :|:PI3K/MTOR signaling
