,drug,target,pathway
267,cabozantinib,"FLT3,KDR,MET,RET","MAPK signaling pathway,Ras signaling pathway,PI3K-Akt signaling pathway,VEGF signaling pathway"
268,Cabozantinib_249,"FLT1:|:FLT3:|:FLT4:|:KDR:|:KIT:|:MET:|:RET:|:TIE2,AXL:|:VEGFR","inhibition of c-MET, VEGFR2/3, and RET:|:RET tyrosine kinase , VEGFR :|:RET tyrosine kinase |VEGFR :|:RTK signaling"
269,CAL-101,"PI3KCD,PIK3CA,PIK3CB,PIK3CG","PI3K-Akt signaling pathway, Apoptosis, 	B cell receptor signaling pathway"
270,Camptothecin_1003,TOP1,DNA replication:|:topoisomerase
271,canertinib,"EGFR,ERBB2,ERBB3,ERBB4","MAPK signaling pathway,ErbB signaling pathway,Calcium signaling pathway"
272,"CAP-232, TT-232, TLN-232_436",Glycolysis,Metabolism
273,Capivasertib_1136,AKT,PI3K/MTOR 
274,carboplatin,DNA,NA
275,carboplatin:etoposide (40:17 mol/mol),"TOP2A,TOP2B","Etoposide Metabolism Pathway,Etoposide Action Pathway"
276,carboplatin:UNC0638 (2:1 mol/mol),"EHMT1,EHMT2",inhibitor of EHMT2 and GLP methyltransferase
277,Carmustine_1807,GSR,"DNA alkylating , DNA :|:DNA alkylating |DNA :|:DNA replication"
278,CAY10566_416,Stearoyl-CoA desaturase,Other
279,CAY10576,IKBKE:|:IKK,inhibitor of IKK-epsilon
280,CAY10594,PLD2,inhibition of phospholipase D2
281,CAY10603_276,HDAC1:|:HDAC6,Chromatin histone acetylation:|: of HDAC6
282,CAY10618,NAMPT,inhibition of nicotinamide phosphoribosyltransferase
283,CBB-1007,KDM1A,inhibition of lysine-specific demethylase 1A (LSD1)
284,CCT-018159_1170,HSP90:|:HSP90AA1:|:HSP90AB1,HSP :|:Protein stability and degradation
285,CCT007093_1067,PPM1D,Cell cycle
286,CCT036477,CTNNB1,inhibition of WNT signaling by blocking beta-catenin transcription
287,CD-1530,RARG,agonist of retinoic acid receptor gamma:|:retinoid receptor agonist
288,CD-437,RARG,agonist of retinoic acid receptor gamma:|:retinoid receptor agonist
289,CD532_449,AURKA,Mitosis
290,CDK9_5038_1709,CDK9,Cell cycle
291,CDK9_5576_1708,CDK9,Cell cycle
292,cediranib,"FLT1,KDR,FLT4","MAPK signaling pathway,VEGF signaling pathway"
293,Cediranib_1922,CSF1R:|:FLT1:|:FLT2:|:FLT3:|:FLT4:|:KDR:|:KIT:|:PDGFRA:|:PDGFRB:|:VEGFR,"inhibition of VEGFRs:|:KIT , VEGFR :|:KIT |VEGFR :|:RTK signaling"
294,ceranib-2,"ACER1,ACER2,ACER3,ASAH1,ASAH2,ASAH2B",inhibition of ceramidase activity
295,cerulenin,"FASN,HMGCS1","effector of fatty acid biosynthetic process,inhibition of HMG-CoA synthase"
296,Cetuximab_1114,EGFR,EGFR signaling
297,CGP-082996_54,CDK4,Cell cycle
298,CGP-60474_53,"CDK1:|:CDK1,CDK2,CDK5,CDK7,CDK9:|:CDK2:|:CDK5:|:CDK7:|:CDK9:|:PKC",Cell cycle
299,Ch-55,RARA:|:RARB:|:RARG,agonist of retinoid acid receptors:|:retinoid receptor binder
300,CHIR-99021,CDK1:|:GSK3A:|:GSK3B:|:MAPK1,glycogen synthase kinase :|: of GSK3 beta:|:WNT signaling
301,CHIR-99021_1241,CDK1:|:GSK3A:|:GSK3B:|:MAPK1,glycogen synthase kinase :|: of GSK3 beta:|:WNT signaling
302,CHIR-99021_154,CDK1:|:GSK3A:|:GSK3B:|:MAPK1,glycogen synthase kinase :|: of GSK3 beta:|:WNT signaling
303,chlorambucil,DNA?,DNA Damage
304,CHM-1,NA,inhibition of tubulin polymerization
305,CI-1033_362,"EGFR, ERBB2, ERBB4",RTK signaling
306,CI-1040_1015,MAP2K1:|:MAP3K1:|:MAP3K2:|:MEK1:|:MEK2,ERK MAPK signaling:|:MEK
307,CI-976,ACAT1:|:CES1,ACAT :|: inhibition of acetyl-CoA acetyltransferase I
308,ciclopirox,RRM1,"substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase,"
309,ciclosporin,"PPID,PPP3C,PPP3R,CHP","inhibitor of calcium-dependent protein serine/threonine phosphatase activity,	MAPK signaling pathway,Cellular senescence,Natural killer cell mediated cytotoxicity,Th1 and Th2 cell differentiation,Th17 cell differentiation,T cell receptor signaling pathway,Osteoclast differentiation"
310,CID-5951923,KLF5,modulator of KLF5 expression
311,CIL41,NA,screening hit
312,CIL55,NA,NA
313,CIL55A,NA,screening hit
314,CIL56,NA,screening hit
315,CIL70,NA,screening hit
316,cimetidine,HRH2,"inhibitor of histidine receptor H2,Calcium signaling pathway,Neuroactive ligand-receptor interaction,Gastric acid secretion"
317,Cisplatin_1005,"DNA crosslinker:|:XIAP,HRH2","inhibitor of DNA replication, inhibitor of transcription, activator of cell death,inhibitor of histidine receptor H2"
318,Cisplatin_1005,"DNA crosslinker:|:XIAP,HRH3","DNA alkylating , DNA synthesis :|:DNA alkylating |DNA synthesis :|:DNA replication"
319,Cisplatin_1496,"DNA crosslinker:|:XIAP,HRH4","DNA alkylating , DNA synthesis :|:DNA alkylating |DNA synthesis :|:DNA replication"
320,clofarabine,"DNA,RRM1,POLA","Purine metabolism,Pyrimidine metabolism,DNA replication"
321,CMK_64,RSK2,"Other, kinases"
322,COL-3,NA,analog of tetracycline
323,Compound 1541A,NA,DNA Damage
324,compound 1B,"CASP3,CASP6,CASP7","activators of executioner procaspases 3, 6, and 7,inhibition of TP53"
325,Compound 23 citrate,NA,analog of natural product cortistatin
326,Compound 7d-cis,XPO1,"inhibition of CRM1-mediated nucleocytoplasmic transport,effector of nuclear export, effector of nuclear import"
327,CP466722_152,ATM,Genome integrity
328,CP724714_255,ERBB2,"EGFR , protein tyrosine kinase :|:EGFR |protein tyrosine kinase :|:RTK signaling"
329,CPI-613_415,Metabo:|:Mitochondria:|:PDHA1,Other:|:pyruvate dehydrogenase
330,CR-1-31B,EIF4A2:|:EIF4E:|:EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex
331,crizotinib,"ALK,MET,ROS1,EML4","inhibition of c-MET and ALK,Non-small cell lung cancer"
332,crizotinib:PLX-4032 (2:1 mol/mol),ALK:|:MET:|:ROS1,ALK tyrosine kinase receptor :|: inhibition of c-MET and ALK:|:RTK signaling
333,Crizotinib_1083,ALK:|:MET:|:ROS1,ALK tyrosine kinase receptor :|: inhibition of c-MET and ALK:|:RTK signaling
334,Crizotinib_37,ALK:|:MET:|:ROS2,ALK tyrosine kinase receptor :|: inhibition of c-MET and ALK:|:RTK signaling
335,cucurbitacin I,"NFKB1,STAT3",modulator of NFKB1 and STAT3 signaling
336,CUDC-101_273,EGFR:|:ERBB2:|:HDAC1-10,EGFR :|:Other
337,curcumin,multiple targets,"modulator of ROS,modulator of NF-kappa-B signaling"
338,CX-5461_300,RNA Polymerase 1,Other:|:RNA polymerase
339,cyanoquinoline 11,MAP3KB,inhibitor of phosphorylated EGFR in cells
340,Cyclopamine_17,SMO,Other
341,cyclophosphamide,Alkylating agent:|:CYP2A6:|:CYP2B6:|:CYP2C18:|:CYP2C19:|:CYP2C8:|:CYP2C9:|:CYP2D6:|:CYP3A4:|:CYP3A5:|:CYP3A6,DNA alkylating :|:DNA alkylator:|:DNA replication
342,Cyclophosphamide_1512,Alkylating agent:|:CYP2A6:|:CYP2B6:|:CYP2C18:|:CYP2C19:|:CYP2C8:|:CYP2C9:|:CYP2D6:|:CYP3A4:|:CYP3A5:|:CYP3A7,DNA alkylating :|:DNA alkylator:|:DNA replication
343,cytarabine hydrochloride,Antimetabolite:|:POLA1:|:POLB:|:POLD1:|:POLE,inducer of DNA damage:|:Other:|:ribonucleotide reductase
344,Cytarabine_1006,Antimetabolite:|:POLA1:|:POLB:|:POLD1:|:POLE,inducer of DNA damage:|:Other:|:ribonucleotide reductase
345,Cytarabine_1006,DNA polymerase,induce of DNA Damage
346,cytochalasin B,DNA,inhibition of actin polymerization
347,CZC24832_1615,PI3Kgamma,PI3K/MTOR signaling
348,dabrafenib,BRAF,"MAPK signaling pathway,ErbB signaling pathway"
349,Dabrafenib_1373,BRAF:|:LIMK1:|:NEK11:|:RAF1:|:SIK1,ERK MAPK signaling:|: inhibition of BRAF:|:RAF
350,Dabrafenib_1373,BRAF:|:LIMK1:|:NEK11:|:RAF1:|:SIK1,ERK MAPK signaling:|: inhibition of BRAF:|:RAF
351,dacarbazine,DNA,DNA Damage
352,Dacinostat_200,HDAC1:|:HDAC2:|:HDAC3:|:HDAC4:|:HDAC5:|:HDAC6:|:HDAC7:|:HDAC8:|:HDAC9,Chromatin histone acetylation:|:HDAC
353,Dactinomycin_1811,RNA polymerase,Other:|:RNA polymerase
354,Dactinomycin_1911,RNA polymerase,Other:|:RNA polymerase
355,Dactolisib_1057,ATR:|:MTOR:|:MTORC1:|:MTORC2:|:PI3K (class 1):|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,"inhibitionof PI3K and mTOR kinase activity:|:mTOR , PI3K :|:mTOR |PI3K :|:PI3K/MTOR signaling"
356,Dactolisib_1057,ATR:|:MTOR:|:MTORC1:|:MTORC2:|:PI3K (class 1):|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,"inhibitionof PI3K and mTOR kinase activity:|:mTOR , PI3K :|:mTOR |PI3K :|:PI4K/MTOR signaling"
357,daporinad,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
358,Daporinad_1248,NAMPT,inhibition of nicotinamide phosphoribosyltransferase:|:Metabolism:|:niacinamide phosphoribosyltransferase
359,Daporinad_1248,NAMPT,inhibition of nicotinamide phosphoribosyltransferase:|:Metabolism:|:niacinamide phosphoribosyltransferase
360,darinaparsin,TUBB1,"inducer of ROS,inhibition of microtubule assembly"
361,dasatinib,EPHA2;KIT;LCK;SRC;YES1,"MAPK signaling pathway,ErbB signaling pathway,VEGF signaling pathway,Pathways in cancer,Chronic myeloid leukemia"
362,Dasatinib_1079,ABL:|:ABL1:|:ABL2:|:BLK:|:EPHA2:|:Ephrins:|:FGR:|:FRK:|:FYN:|:HCK:|:KIT:|:LCK:|:LYN:|:PDGFR:|:PDGFRB:|:SRC:|:SRMS:|:STAT5B:|:YES1,"Bcr-Abl kinase , ephrin , KIT , PDGFR tyrosine kinase receptor , src , tyrosine kinase :|:Bcr-Abl kinase |ephrin |KIT |PDGFR tyrosine kinase receptor |src |tyrosine kinase :|: of SRC, YES1, EPHA2, c-KIT, and LCK:|:RTK signaling"
363,Dasatinib_51,ABL:|:ABL1:|:ABL2:|:BLK:|:EPHA2:|:Ephrins:|:FGR:|:FRK:|:FYN:|:HCK:|:KIT:|:LCK:|:LYN:|:PDGFR:|:PDGFRB:|:SRC:|:SRMS:|:STAT5B:|:YES1,"Bcr-Abl kinase , ephrin , KIT , PDGFR tyrosine kinase receptor , src , tyrosine kinase :|:Bcr-Abl kinase |ephrin |KIT |PDGFR tyrosine kinase receptor |src |tyrosine kinase :|: of SRC, YES1, EPHA2, c-KIT, and LCK:|:RTK signaling"
364,DBeQ,CASP3:|:VCP,ATPase :|: of p97 in cells
365,decitabine,"DNMT1,DNMT3A,DNMT3B","Cysteine and methionine metabolism, MicroRNAs in cancer,inhibitor of DNA methyltransferase"
366,decitabine:carboplatin (1:1 mol/mol),DNMT1,inhibitor of DNA methyltransferase
367,decitabine:navitoclax (2:1 mol/mol),BCL2;BCL2L1;BCL2L2,effector of apoptotic process
368,dexamethasone,NR3C1,"inhibitor of inflammatory response,agonist of glucocorticoid receptor,Neuroactive ligand-receptor interaction"
369,Dihydrorotenone_1827,NA,inhibition of mitochondrion functions
370,dinaciclib,CDK1;CDK2;CDK5;CDK9,"Cell cycle,p53 signaling pathway,Pathways in cancer"
371,Dinaciclib_1180,CDK1:|:CDK2:|:CDK5:|:CDK9,CDK :|:Cell cycle:|:inhibition of cyclin-dependent kinases
372,DMOG_165,HIF-PH,Metabolism
373,docetaxel,TUBB,"Gap junction,inhibitor of microtubule assembly"
374,docetaxel:tanespimycin (2:1 mol/mol),BCL2:|:MAP2:|:MAP4:|:MAPT:|:Microtubule stabiliser:|:NR1I2:|:TUBB:|:TUBB1,of microtubule assembly:|:Mitosis:|:tubulin polymerization
375,Docetaxel_1007,BCL2:|:MAP2:|:MAP4:|:MAPT:|:Microtubule stabiliser:|:NR1I2:|:TUBB:|:TUBB1,of microtubule assembly:|:Mitosis:|:tubulin polymerization
376,Docetaxel_1007,BCL2:|:MAP2:|:MAP4:|:MAPT:|:Microtubule stabiliser:|:NR1I2:|:TUBB:|:TUBB1,of microtubule assembly:|:Mitosis:|:tubulin polymerization
377,Docetaxel_1819,HSP90AA1,"effector of protein folding,PI3K-Akt signaling pathway,Estrogen signaling pathway"
378,Doramapimod_1042,JNK2:|:MAPK11:|:MAPK12:|:MAPK13:|:MAPK14:|:p38,of p38 MAPK:|:JNK and p38 signaling:|:p38 MAPK
379,Doramapimod_1042,JNK2:|:MAPK11:|:MAPK12:|:MAPK13:|:MAPK14:|:p38,of p38 MAPK:|:JNK and p38 signaling:|:p38 MAPK
380,doxorubicin,TOP2A,"inhibitor of topoisomerase II,DNA Damage"
381,doxorubicin:navitoclax (2:1 mol/mol),Anthracycline:|:TOP2A,DNA replication:|: of topoisomerase II:|:topoisomerase
382,Doxorubicin_133,Anthracycline:|:TOP2A,DNA replication:|: of topoisomerase II:|:topoisomerase
383,Doxorubicin_1386,BCL2;BCL2L1;BCL2L2,effector of apoptotic process
384,Dyrk1b_0191_1407,DYRK1B,"Other, kinases"
385,"eEF2K Inhibitor, A-484954_409",eEF2K,NA
386,Eg5_9814_1712,KSP11,Other
387,EHT-1864_1069,RAC1:|:RAC2:|:RAC3,Cytoskeleton
388,ELCPK,NA,screening hit
389,Elephantin_1835,NA,Unclassified
390,Elesclomol_1031,HSP90:|:HSPA1A,oxidative stress inducer:|:Protein stability and degradation
391,elocalcitol,VDR,agonist of vitamin D receptor
392,Embelin_172,XIAP,"Apoptosis regulation:|:HCV , XIAP :|:HCV |XIAP"
393,entinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"Cell cycle,Notch signaling pathway,Pathways in cancer,inhibitor of deacetylase activity"
394,Entinostat_1593,HDAC1:|:HDAC2:|:HDAC3:|:HDAC6:|:HDAC8:|:HDAC9,"Chromatin histone acetylation:|:HDAC :|: inhibition of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
395,Entinostat_88,HDAC1:|:HDAC2:|:HDAC3:|:HDAC6:|:HDAC8:|:HDAC9,"Chromatin histone acetylation:|:HDAC :|: inhibition of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
396,Entospletinib_1630,SYK,"Other, kinases"
397,Enzastaurin_229,AKT1:|:GSK3B:|:PKCB:|:PRKCA:|:PRKCB:|:PRKCD:|:PRKCG,"Other, kinases:|:PKC"
398,EphB4_9721_1413,EPHB4,RTK signaling
399,epigallocatechin-3-monogallate,"GLUD1,ELANE,EP300,FASN,KAT2B,MMP14,MMP2",NA
400,Epirubicin_1511,Anthracycline,DNA replication
401,Epothilone B_201,Microtubule stabiliser:|:TUBA1A:|:TUBA1B:|:TUBA1C:|:TUBA3C:|:TUBA4A:|:TUBA8:|:TUBB:|:TUBB1:|:TUBB3:|:TUBB4A:|:TUBB4B,"microtubule stabilizing , tubulin polymerization :|:microtubule stabilizing |tubulin polymerization :|:Mitosis"
402,EPZ004777_1237,DOT1L,Chromatin histone methylation
403,EPZ5676_1563,DOT1L,Chromatin histone methylation
404,erastin,SLC7A11;VDAC1;VDAC2,modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11
405,erismodegib,SMO,"Hedgehog signaling pathway,Pathways in cancer,Basal cell carcinoma"
406,ERK_2440_1713,"ERK1,ERK2ERK MAPK signaling",ERK MAPK signaling
407,ERK_6604_1714,"ERK1,ERK3ERK MAPK signaling",ERK MAPK signaling
408,erlotinib,EGFR;ERBB2,"MAPK signaling pathway,ErbB signaling pathway,Pathways in cancer,Pancreatic cancer,Non-small cell lung cancer"
409,erlotinib:PLX-4032 (2:1 mol/mol),EGFR:|:ERBB2:|:NR1I2,EGFR :|:EGFR signaling:|: inhibition of EGFR and HER2
410,Erlotinib_1,EGFR:|:ERBB2:|:NR1I2,EGFR :|:EGFR signaling:|: inhibition of EGFR and HER3
411,Erlotinib_1168,BRAF,"	
MAPK signaling pathway,ErbB signaling pathway,Pathways in cancer,Melanoma"
412,etomoxir,CPT1A,inhibitor of carnitine palmitoyltransferase
413,etoposide,TOP2A,activator of mitotic cell cycle arrest
414,Etoposide_134,TOP2:|:TOP2A:|:TOP2B,DNA replication:|: of topoisomerase II:|:topoisomerase
415,ETP-45835_447,MNK1:|:MNK2,"Other, kinases"
416,ETP-46464,ATM:|:ATR,ATR kinase :|: inhibition of serine/threonine-protein kinase ATR
417,EX-527,SIRT1,inhibition of sirtuin 1
418,Fedratinib_306,BRD4:|:JAK1:|:JAK2:|:JAK3:|:TYK2,"FLT3 , JAK :|:FLT3 |JAK :|: inhibition of Janus kinase 2:|:Other, kinases"
419,FEN1_3940_1419,FEN1,NA
420,FGFR_0939_1421,FGFR4,RTK signaling
421,FGFR_3831_1422,"FGFR1, FGFR2, FGFR3, FGFR4",RTK signaling
422,FGIN-1-27,TSPO,activator of peripheral benzodiazepine receptor/translocator protein:|:inositol monophosphatase
423,FH535_173,PPARD:|:PPARdelta:|:PPARG:|:PPARgamma,Other
424,fingolimod,S1PR1,"Sphingolipid signaling pathway,Neuroactive ligand-receptor interaction"
425,Flavopiridol_432,CDK,Cell cycle
426,Fludarabine_1813,ADA:|:RRM1:|:RRM2,ribonucleotide reductase :|:Unclassified
427,fluorouracil,TYMS,"inhibitor of thymidylate synthase,Pyrimidine metabolism,One carbon pool by folate"
428,fluvastatin,HMGCR,Terpenoid backbone biosynthesis
429,FMK_231,RSK,"Other, kinases"
430,foretinib,KDR;MET,"VEGF signaling pathway,Focal adhesion"
431,Foretinib_2040,EGFR:|:FGFR1:|:FLT1:|:FLT4:|:KDR:|:MET:|:PDGFR:|:RON:|:TIE2:|:VEGFR3/FLT4,inhibition of MET and VEGFR2:|:RTK signaling:|:VEGFR
432,Foretinib_308,EGFR:|:FGFR1:|:FLT1:|:FLT4:|:KDR:|:MET:|:PDGFR:|:RON:|:TIE2:|:VEGFR3/FLT4,inhibition of MET and VEGFR3:|:RTK signaling:|:VEGFR
433,FQI-1,"?TFCP2,LSF1",inhibition of LSF1-mediated transcription
434,FQI-2,"?TFCP2,LSF1",inhibition of LSF1-mediated transcription
435,FR-180204_263,ERK1:|:ERK2:|:MAPK1:|:MAPK3,ERK MAPK signaling:|:MAP kinase
436,FSC231,PICK1,inhibition of PDZ domain of protein interacting with PRKCA 1 (PICK1)
437,FTI-277_166,Farnesyl-transferase (FNTA):|:FNTA,Other
438,FTY-720_546,SIP,NA
439,fulvestrant,ESR1;GPER1,"Estrogen signaling pathway,Pathways in cancer,Breast cancer"
440,Fulvestrant_1200,ESR:|:ESR1:|:ESR2:|:GPER1,antagonist of the estrogen receptor:|:estrogen receptor antagonist:|:Hormone-related
441,Fulvestrant_1414,ESR:|:ESR1:|:ESR2:|:GPER1,antagonist of the estrogen receptor:|:estrogen receptor antagonist:|:Hormone-related
442,Fulvestrant_1816,ESR:|:ESR1:|:ESR2:|:GPER1,antagonist of the estrogen receptor:|:estrogen receptor antagonist:|:Hormone-related
443,fumonisin B1,CERS1;CERS2;CERS3;CERS4;CERS5;CERS6,"inhibitor of ceramide synthase,"
444,Gallibiscoquinazole_1830,NA,Unclassified
445,GANT-61,"SMO, GLI1",inhibition of hedgehog signaling pathway
446,GDC-0879,BRAF,inhibition of BRAF:|:RAF
447,GDC-0941,PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of PI3K kinase activity
448,GDC0810_1925,ESR1:|:ESR2,Hormone-related
449,gefitinib,AKT1;EGFR,"MAPK signaling pathway,ErbB signaling pathway,Pathways in cancer,Non-small cell lung cancer"
450,Gefitinib_1010,AKT1:|:EGFR,EGFR :|:EGFR signaling:|: inhibition of EGFR and AKT1
451,Gefitinib_1010,AKT1:|:EGFR,EGFR :|:EGFR signaling:|: inhibition of EGFR and AKT2
452,gemcitabine,CMPK1;RRM1;TYMS,"inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase,effector of DNA replication, effector of pyrimidine base biosynthetic process,Purine metabolism,Pyrimidine metabolism"
453,Gemcitabine_1190,CMPK1:|:Pyrimidine antimetabolite:|:RRM1:|:RRM2:|:TYMS,"DNA replication:|: of DNA replication;  of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase :|:ribonucleotide reductase"
454,Gemcitabine_135,CMPK1:|:Pyrimidine antimetabolite:|:RRM1:|:RRM2:|:TYMS,"DNA replication:|: of DNA replication;  of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase :|:ribonucleotide reductase"
455,Gemcitabine_1393,CMPK1:|:Pyrimidine antimetabolite:|:RRM1:|:RRM2:|:TYMS,"DNA replication:|: of DNA replication;  of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase :|:ribonucleotide reductase"
456,Genentech Cpd 10_225,AURKA:|:AURKB,Mitosis
457,GMX-1778,NAMPT,inhibition of nicotinamide phosphoribosyltransferase:|:NAMPT
458,GNE-317_1926,PI3Kalpha,PI3K/MTOR signaling
459,GNF-2_52,ABL1:|:BCR:|:BCR-ABL,ABL signaling:|:Bcr-Abl kinase
460,gossypol,BCL2;BCL2L1;LDHA;LDHB;LDHC,"inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members,inhibitor of sperm motility (GO:0030317), inhibitor of spermatogenesis (GO:0007283), inhibitor of cell growth (GO:0016049), inhibitor of inflammatory response (GO:0006954), inhibitor of cell proliferation (GO:0008283), inhibitor of DNA biosynthetic process (GO:0071897), effector of ATP metabolic process (GO:0046034), inhibitor of lipid oxidation (GO:0034440), inhibitor of ATP biosynthetic process (GO:0006754), inhibitor of translation (GO:0006412), inhibitor of mitochondrial respiratory chain (GO:0005746), inhibitor of fructose catabolic process (GO:0006001), inhibitor of viral infectious cycle (GO:0019058), inhibitor of testosterone biosynthetic process (GO:0061370), effector of phosphorylase kinase activity (GO:0004689), effector of apoptotic process (GO:0006915), effector of male gonad development (GO:0008584), effector of cell death (GO:0008219), activator of mitochondrion degradation (GO:0000422), effector of mRNA metabolic process (GO:0016071), inhibitor of growth (GO:0040007), activator of superoxide anion generation (GO:0042554), effector of oxidative phosphorylation (GO:0006119), effector of sodium ion homeostasis (GO:0055078), effector of regulation of vascular permeability (GO:0043114), effector of calcium ion homeostasis (GO:0055074), inhibitor of protein kinase C activity (GO:0004697), effector of glycolysis (GO:0006096), effector of lactate dehydrogenase activity (GO:0004457)"
461,GSK-3 inhibitor IX,GSK3A:|:GSK3B,"glycogen synthase kinase , lipoxygenase :|: inhibition of JAK/STAT signaling"
462,GSK-J4,KDM6A:|:KDM6B,histone lysine demethylase :|: inhibition of lysine-specific demethylases
463,GSK1059615,MTOR:|:PI3K:|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,inhibition of PI3K and mTOR kinase activity:|:PI3K :|:PI3K/MTOR signaling
464,GSK1059615_374,MTOR:|:PI3K:|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,inhibition of PI3K and mTOR kinase activity:|:PI3K :|:PI4K/MTOR signaling
465,GSK1070916_226,AURKA:|:AURKB:|:AURKC:|:CYP2D6:|:CYP3A4,Aurora kinase :|:Mitosis
466,GSK1904529A_1093,IGF1R:|:INSR:|:IR,"IGF-1 , insulin growth factor receptor , insulin receptor ligand:|:IGF-1 |insulin growth factor receptor |insulin receptor ligand:|:RTK signaling"
467,GSK1904529A_202,IGF1R:|:INSR:|:IR,"IGF-1 , insulin growth factor receptor , insulin receptor ligand:|:IGF-1 |insulin growth factor receptor |insulin receptor ligand:|:RTK signaling"
468,GSK2578215A_1927,LRRK2,"Other, kinases"
469,GSK2606414_1618,PERK,Metabolism
470,GSK2636771,PIK3CB,inhibition of PI3K catalytic subunit beta:|:PI3K
471,GSK269962A_1192,ROCK1:|:ROCK2,Cytoskeleton
472,GSK269962A_1192,ROCK1:|:ROCK2,Cytoskeleton
473,GSK269962A_127,ROCK1:|:ROCK2,Cytoskeleton
474,GSK319347A_91,IKBKE:|:IKK,"of IKK-epsilon:|:Other, kinases"
475,GSK343_1627,EZH2,Chromatin histone methylation
476,GSK4112,NR1D1,antagonist of Rev-ErbAalpha
477,GSK429286A_230,ROCK1:|:ROCK2,Cytoskeleton:|:rho associated kinase
478,GSK461364,PLK1,inhibition of polo-like kinase 1 (PLK1):|:PLK
479,GSK525762A,BRD2;BRD3;BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins
480,GSK591_2110,PMRT5,Chromatin histone methylation
481,GSK650394_177,SGK1:|:SGK2:|:SGK3,"Other, kinases:|:serum/glucocorticoid regulated kinase"
482,GSK690693_326,AKT1:|:AKT2:|:AKT3:|:PAK4:|:PAK6:|:PAK7:|:PRKCQ:|:PRKG1:|:PRKX,AKT :|:PI3K/MTOR signaling
483,GW-2580_193,CSF1R,cFMS kinase :|:RTK signaling
484,GW-405833,CNR2,cannabinoid receptor agonist:|:partial agonist of cannabinoid receptor 2
485,GW-843682X,PLK1;PLK3,inhibitor of PLK1 and PLK3
486,GW441756_1023,NTRK1,growth factor receptor :|:RTK signaling
487,GW843682X_87,PLK1:|:PLK3,Cell cycle:|: of PLK1 and PLK3:|:PLK
488,HBX-41108,USP7,inhibition of the deubiquitinase activity of USP7
489,HC-067047,TRPV4,inhibition of cation channel TRPV4
490,HG-5-113-01_1142,ABL(T315I):|:ABL1:|:LOK:|:LTK:|:TRCB,Other
491,HG-5-88-01_1143,ADCK4:|:EGFR,"Other, kinases"
492,HG6-64-1_159,BRAF,ERK MAPK signaling
493,HLI 373,MDM2,inhibition of MDM2
494,hyperforin,"TRPC6,NR1|2,PTGS1,ALOX5",agonist of calcium-permeable ion channels
495,I-BET-762_1624,BRD2:|:BRD3:|:BRD4,bromodomain :|:Chromatin other:|: of bromodomain (BRD) and extra-C terminal domain (BET) proteins
496,I-BET-762_275,BRD2:|:BRD3:|:BRD4,bromodomain :|:Chromatin other:|: of bromodomain (BRD) and extra-C terminal domain (BET) proteins
497,I-BET151,BRD2:|:BRD3:|:BRD4,bromodomain :|: of bromodomain (BRD) and extra-C terminal domain (BET) proteins
498,I-BRD9_1928,BRD9,Chromatin other
499,IAP_5620_1428,IAP,?inhibitor of apoptosis proteins (IAPs)
500,IAP_5620_1428,IAP,?inhibitor of apoptosis proteins (IAPs)
501,IAP_7638_1429,IAP,?inhibitor of apoptosis proteins (IAPs)
502,ibrutinib,BTK,B cell receptor signaling pathway
503,Ibrutinib_1799,BLK:|:BMX:|:BTK,"Bruton's tyrosine kinase (BTK) :|: of Bruton's tyrosine kinase:|:Other, kinases"
504,IC-87114,PI3Kdelta:|:PIK3CD,of PI3K catalytic subunit delta:|:PI3K/MTOR signaling
505,IC-87114_236,PI3Kdelta:|:PIK3CD,of PI3K catalytic subunit delta:|:PI3K/MTOR signaling
506,ICL1100013_1266,N-myristoyltransferase 1/2,Other
507,Idelalisib_238,PI3Kdelta:|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,of PI3K catalytic subunit delta:|:PI3K :|:PI3K/MTOR signaling
508,ifosfamide,DNA,DNA Damage
509,IGF1R_3801_1738,IGFR1,IGF1R signaling
510,IGFR_3801_1430,IGFR2,IGF2R signaling
